author_cell_type	cell_type	dataset_title	collection_name	cell_type_ontology_term_id	count
Car3	corticothalamic-projecting glutamatergic cortical neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023013	1187
L5 PPP	L5 extratelencephalic projecting glutamatergic cortical neuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023041	1183
Astro	astrocyte	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000127	963
Endo	endothelial cell	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000115	960
Micro-PVM	central nervous system macrophage	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000878	955
L6 IT Car3	glutamatergic neuron	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000679	720
L6b/CT ENT	L6b glutamatergic cortical neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023038	662
L3 IT ENT	L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023047	593
astrocyte	astrocyte	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000127	592
brain pericyte	brain pericyte	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:2000043	484
neuron	neuron	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000540	484
SUB-ProS	glutamatergic neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000679	471
L5/6 IT TPE-ENT	L5 extratelencephalic projecting glutamatergic cortical neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023041	352
L2/3 IT ENTl	L2/3-6 intratelencephalic projecting glutamatergic neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023040	344
CA2-IG-FC	hippocampal neuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0002608	328
CA3	hippocampal neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0002608	322
macrophage	macrophage	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000235	312
oligodendrocyte precursor cell	oligodendrocyte precursor cell	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0002453	312
SMC-Peri	pericyte	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000669	288
CR	Cajal-Retzius cell	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000695	277
Sst Chodl	sst chodl GABAergic cortical interneuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023121	265
L4 RSP-ACA	pyramidal neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000598	256
NP SUB	L5/6 near-projecting glutamatergic neuron of the primary motor cortex	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023043	253
interneuron	interneuron	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000099	240
Oligo	oligodendrocyte	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000128	229
Endo	endothelial cell	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000115	193
L2 IT ENTl	L2/3-6 intratelencephalic projecting glutamatergic neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023040	191
Micro-PVM	central nervous system macrophage	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000878	177
CT SUB	cortical interneuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0008031	158
VLMC	vascular leptomeningeal cell (Mmus)	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023056	152
neuroepithelial stem cell	neuroepithelial stem cell	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0002259	151
NP PPP	L5/6 near-projecting glutamatergic neuron of the primary motor cortex	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023043	142
L2/3 IT RHP	L2/3-6 intratelencephalic projecting glutamatergic neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023040	134
Prog/IP	GABAergic neuron	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000617	132
Meis2	meis2 expressing cortical GABAergic cell	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023065	130
SMC-Peri	pericyte	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000669	121
VLMC	vascular leptomeningeal cell (Mmus)	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023056	116
Prog/IP	unknown	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	unknown	114
CD8-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000625	104
medium spiny neuron	medium spiny neuron	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:1001474	103
neural stem cell	neural stem cell	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000047	97
L6 IT ENTl	L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023050	78
T cell	T cell	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000084	67
ependymal cell	ependymal cell	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000065	55
Micro	microglial cell	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000129	55
Bergmann glial cell	Bergmann glial cell	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000644	54
L5 PPP	L5 extratelencephalic projecting glutamatergic cortical neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023041	49
SMC	smooth muscle cell	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000192	47
L2 IT ENTm	L2/3-6 intratelencephalic projecting glutamatergic neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023040	42
CR	Cajal-Retzius cell	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000695	38
Meis2	meis2 expressing cortical GABAergic cell	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023065	20
CA2-IG-FC	hippocampal neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0002608	19
mature NK T cell	mature NK T cell	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000814	17
CR	glutamatergic neuron	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000679	16
