soma_joinid	citation	collection_id	collection_name	collection_doi	dataset_id	dataset_version_id	dataset_title	dataset_h5ad_path	dataset_total_cell_count
10	Publication: https://doi.org/10.1002/hep4.1854 Dataset Version: https://datasets.cellxgene.cziscience.com/69903a93-8c65-4415-88de-559f43aa1c49.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/44531dd9-1388-4416-a117-af0a99de2294	44531dd9-1388-4416-a117-af0a99de2294	Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity	10.1002/hep4.1854	a49d9109-1d0c-4b36-8139-19aa9a83428c	69903a93-8c65-4415-88de-559f43aa1c49	Healthy human liver: lymphocytes	a49d9109-1d0c-4b36-8139-19aa9a83428c.h5ad	2346
11	Publication: https://doi.org/10.1016/j.jhep.2023.12.023 Dataset Version: https://datasets.cellxgene.cziscience.com/6ff309fa-e9f6-405d-b24e-3c35528f154e.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver	10.1016/j.jhep.2023.12.023	0c9a8cfb-6649-4d52-b418-6d8e56bd7afe	6ff309fa-e9f6-405d-b24e-3c35528f154e	Cholangiocytes from human healthy donor liver samples	0c9a8cfb-6649-4d52-b418-6d8e56bd7afe.h5ad	1011
12	Publication: https://doi.org/10.1038/s41593-020-00764-7 Dataset Version: https://datasets.cellxgene.cziscience.com/dee5e801-20cf-4d23-9125-cdbe711440cd.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/180bff9c-c8a5-4539-b13b-ddbc00d643e6	180bff9c-c8a5-4539-b13b-ddbc00d643e6	Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease	10.1038/s41593-020-00764-7	06b91002-4d3d-4d2e-8484-20c3b31e232c	dee5e801-20cf-4d23-9125-cdbe711440cd	Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: EC astrocytes	06b91002-4d3d-4d2e-8484-20c3b31e232c.h5ad	5500
13	Publication: https://doi.org/10.1016/j.jhep.2023.12.023 Dataset Version: https://datasets.cellxgene.cziscience.com/54937a8a-597c-45cc-a1dd-de76e6099e75.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver	10.1016/j.jhep.2023.12.023	4993d61c-1d04-4630-9c61-8d9431f39adc	54937a8a-597c-45cc-a1dd-de76e6099e75	B cells from human healthy donor liver samples	4993d61c-1d04-4630-9c61-8d9431f39adc.h5ad	1250
14	Publication: https://doi.org/10.1038/s41593-020-00764-7 Dataset Version: https://datasets.cellxgene.cziscience.com/b422fa7d-e5a0-452d-9a65-393694367313.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/180bff9c-c8a5-4539-b13b-ddbc00d643e6	180bff9c-c8a5-4539-b13b-ddbc00d643e6	Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease	10.1038/s41593-020-00764-7	b94e3bdf-a385-49cc-b312-7a63cc28b77a	b422fa7d-e5a0-452d-9a65-393694367313	Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: SFG astrocytes	b94e3bdf-a385-49cc-b312-7a63cc28b77a.h5ad	5970
15	Publication: https://doi.org/10.1002/pros.24020 Dataset Version: https://datasets.cellxgene.cziscience.com/0ebba928-bdf1-40a7-ae6c-d60b855c81b1.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/fbc5881f-1ee3-4ffe-8095-35e15e1a08fc	fbc5881f-1ee3-4ffe-8095-35e15e1a08fc	Urethral luminal epithelia are castration-insensitive cells of the proximal prostate	10.1002/pros.24020	df287f8d-f50d-4620-ab96-489d559e6adc	0ebba928-bdf1-40a7-ae6c-d60b855c81b1	Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Fibromuscular Stromal Cells	df287f8d-f50d-4620-ab96-489d559e6adc.h5ad	1295
16	Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/761a676a-d686-4e42-8c21-a25d32bd819f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1	29f92179-ca10-4309-a32b-d383d80347c1	Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19	10.1016/j.immuni.2021.03.005	eec804b9-2ae5-44f0-a1b5-d721e21257de	761a676a-d686-4e42-8c21-a25d32bd819f	74 years old female - Airway Wash (5 days post-intubation)	eec804b9-2ae5-44f0-a1b5-d721e21257de.h5ad	1324
17	Publication: https://doi.org/10.1038/s41593-020-00764-7 Dataset Version: https://datasets.cellxgene.cziscience.com/780eb415-add8-4dd1-892b-50c5351b2b75.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/180bff9c-c8a5-4539-b13b-ddbc00d643e6	180bff9c-c8a5-4539-b13b-ddbc00d643e6	Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease	10.1038/s41593-020-00764-7	f9ad5649-f372-43e1-a3a8-423383e5a8a2	780eb415-add8-4dd1-892b-50c5351b2b75	Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: EC oligodendrocyte	f9ad5649-f372-43e1-a3a8-423383e5a8a2.h5ad	8168
18	Publication: https://doi.org/10.1002/pros.24020 Dataset Version: https://datasets.cellxgene.cziscience.com/e03757f2-7cc7-4fc9-a6d7-806ac6d1ba1c.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/fbc5881f-1ee3-4ffe-8095-35e15e1a08fc	fbc5881f-1ee3-4ffe-8095-35e15e1a08fc	Urethral luminal epithelia are castration-insensitive cells of the proximal prostate	10.1002/pros.24020	a810e511-c18b-4b2a-8fdf-98a6a0d433a7	e03757f2-7cc7-4fc9-a6d7-806ac6d1ba1c	Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Mouse Fibromuscular Stromal Cells	a810e511-c18b-4b2a-8fdf-98a6a0d433a7.h5ad	1647
19	Publication: https://doi.org/10.1016/j.celrep.2018.11.086 Dataset Version: https://datasets.cellxgene.cziscience.com/ba54cb9d-baf7-4eeb-860f-6852b68290ff.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/e2a4a67f-6a18-431a-ab9c-6e77dd31cc80	e2a4a67f-6a18-431a-ab9c-6e77dd31cc80	A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra	10.1016/j.celrep.2018.11.086	ea426edb-4e86-4c53-ab17-5b952d94a31e	ba54cb9d-baf7-4eeb-860f-6852b68290ff	A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Fibromuscular Stromal Cells	ea426edb-4e86-4c53-ab17-5b952d94a31e.h5ad	2113
20	Publication: https://doi.org/10.1038/s41588-021-00911-1 Dataset Version: https://datasets.cellxgene.cziscience.com/9c156007-2242-4839-8df1-8faa8d057ca0.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/dea97145-f712-431c-a223-6b5f565f362a	dea97145-f712-431c-a223-6b5f565f362a	A single-cell and spatially resolved atlas of human breast cancers	10.1038/s41588-021-00911-1	04d87de6-c20a-4186-8884-f47dba20b0a4	9c156007-2242-4839-8df1-8faa8d057ca0	A single-cell and spatially-resolved atlas of human breast cancers - B_cells	04d87de6-c20a-4186-8884-f47dba20b0a4.h5ad	3206
21	Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/944d87b4-443d-494a-926e-e3c12e60ede4.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1	29f92179-ca10-4309-a32b-d383d80347c1	Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19	10.1016/j.immuni.2021.03.005	b25f3834-69b3-4d87-a272-3938432d1f30	944d87b4-443d-494a-926e-e3c12e60ede4	82 years old female - Airway Wash (1 day post-intubation)	b25f3834-69b3-4d87-a272-3938432d1f30.h5ad	1074
22	Publication: https://doi.org/10.1158/2159-8290.cd-22-0824 Dataset Version: https://datasets.cellxgene.cziscience.com/7c4220a8-ce41-49fa-96b2-1c7c552d17f5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/a18474f4-ff1e-4864-af69-270b956cee5b	a18474f4-ff1e-4864-af69-270b956cee5b	Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia	10.1158/2159-8290.cd-22-0824	94423ec1-21f8-40e8-b5c9-c3ea82350ca4	7c4220a8-ce41-49fa-96b2-1c7c552d17f5	UMAP of Myeloid cells	94423ec1-21f8-40e8-b5c9-c3ea82350ca4.h5ad	3282
23	Publication: https://doi.org/10.1038/s41598-020-66092-9 Dataset Version: https://datasets.cellxgene.cziscience.com/1f88c4b8-7993-46ec-a817-dd85c315932f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1d1c7275-476a-49e2-9022-ad1b1c793594	1d1c7275-476a-49e2-9022-ad1b1c793594	Cell Atlas of The Human Fovea and Peripheral Retina	10.1038/s41598-020-66092-9	2f6a20f1-173d-4b8d-860b-c47ffea120fa	1f88c4b8-7993-46ec-a817-dd85c315932f	Horizontal cells of the human fovea and peripheral retina	2f6a20f1-173d-4b8d-860b-c47ffea120fa.h5ad	2868
24	Publication: https://doi.org/10.1016/j.celrep.2023.111994 Dataset Version: https://datasets.cellxgene.cziscience.com/dfb813b4-2e29-4577-9705-9f102caca0ee.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/6d203948-a779-4b69-9b3f-1ee1dadc3980	6d203948-a779-4b69-9b3f-1ee1dadc3980	Differential cell composition and split epidermal differentiation in human palm, sole, and hip skin	10.1016/j.celrep.2023.111994	da684768-fb01-455b-9f0f-b63a3e2f844f	dfb813b4-2e29-4577-9705-9f102caca0ee	UMAP visualization of fibroblast subclusters	da684768-fb01-455b-9f0f-b63a3e2f844f.h5ad	2303
25	Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/042ac315-7f54-4a07-b4f6-41ae4163450d.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1	29f92179-ca10-4309-a32b-d383d80347c1	Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19	10.1016/j.immuni.2021.03.005	a65bcc2d-4243-44c1-a262-ab7dcddfcf86	042ac315-7f54-4a07-b4f6-41ae4163450d	74 years old female - Airway Wash (7 days post-intubation)	a65bcc2d-4243-44c1-a262-ab7dcddfcf86.h5ad	810
26	Publication: https://doi.org/10.1038/s41593-020-00764-7 Dataset Version: https://datasets.cellxgene.cziscience.com/b4f927af-8b89-4e4a-8864-a28b21eeae2a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/180bff9c-c8a5-4539-b13b-ddbc00d643e6	180bff9c-c8a5-4539-b13b-ddbc00d643e6	Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease	10.1038/s41593-020-00764-7	75a881cf-5d88-46e2-bf9b-97e5cbc1bd56	b4f927af-8b89-4e4a-8864-a28b21eeae2a	Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: EC inhibitory neurons	75a881cf-5d88-46e2-bf9b-97e5cbc1bd56.h5ad	5331
27	Publication: https://doi.org/10.1038/s41588-021-00911-1 Dataset Version: https://datasets.cellxgene.cziscience.com/b70cdc7f-76a8-4578-9411-660594fc5b2e.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/dea97145-f712-431c-a223-6b5f565f362a	dea97145-f712-431c-a223-6b5f565f362a	A single-cell and spatially resolved atlas of human breast cancers	10.1038/s41588-021-00911-1	0c86f0de-ddcb-454c-b00b-37feb69e7da1	b70cdc7f-76a8-4578-9411-660594fc5b2e	A single-cell and spatially-resolved atlas of human breast cancers - Plasmablasts	0c86f0de-ddcb-454c-b00b-37feb69e7da1.h5ad	3524
28	Publication: https://doi.org/10.1002/hep4.1854 Dataset Version: https://datasets.cellxgene.cziscience.com/12cec9e2-498d-467b-86c5-ba94babf2c30.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/44531dd9-1388-4416-a117-af0a99de2294	44531dd9-1388-4416-a117-af0a99de2294	Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity	10.1002/hep4.1854	9f049476-2431-4645-a2d6-f6e85892b603	12cec9e2-498d-467b-86c5-ba94babf2c30	Healthy human liver: cholangiocytes	9f049476-2431-4645-a2d6-f6e85892b603.h5ad	1861
29	Publication: https://doi.org/10.1038/s41586-020-2496-1 Dataset Version: https://datasets.cellxgene.cziscience.com/fd9688ef-f103-4074-8911-062362683b3c.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0b9d8a04-bb9d-44da-aa27-705bb65b54eb	0b9d8a04-bb9d-44da-aa27-705bb65b54eb	Tabula Muris Senis	10.1038/s41586-020-2496-1	0380ddce-c31b-422a-88fe-34a1945bd949	fd9688ef-f103-4074-8911-062362683b3c	Aorta — A single-cell transcriptomic atlas characterizes ageing tissues in the mouse	0380ddce-c31b-422a-88fe-34a1945bd949.h5ad	906
30	Publication: https://doi.org/10.1038/s41586-020-2797-4 Dataset Version: https://datasets.cellxgene.cziscience.com/324c7c08-5399-493e-8011-0fe466bcbc30.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72	b52eb423-5d0d-4645-b217-e1c6d38b2e72	Cells of the adult human heart	10.1038/s41586-020-2797-4	1009f384-b12d-448e-ba9f-1b7d2ecfbb4e	324c7c08-5399-493e-8011-0fe466bcbc30	Neuronal — Cells of the adult human heart	1009f384-b12d-448e-ba9f-1b7d2ecfbb4e.h5ad	3961
31	Publication: https://doi.org/10.1002/hep4.1854 Dataset Version: https://datasets.cellxgene.cziscience.com/3f7f466f-b7bf-4da6-99c1-131a46d9589d.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/44531dd9-1388-4416-a117-af0a99de2294	44531dd9-1388-4416-a117-af0a99de2294	Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity	10.1002/hep4.1854	3b6ed41e-10a1-47dd-b995-8cde7d041fd6	3f7f466f-b7bf-4da6-99c1-131a46d9589d	Healthy human liver: macrophages	3b6ed41e-10a1-47dd-b995-8cde7d041fd6.h5ad	3977
32	Publication: https://doi.org/10.1016/j.isci.2021.103115 Dataset Version: https://datasets.cellxgene.cziscience.com/fb995261-472e-4ebc-99b0-d1136e1fad8a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b9fc3d70-5a72-4479-a046-c2cc1ab19efc	b9fc3d70-5a72-4479-a046-c2cc1ab19efc	A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses	10.1016/j.isci.2021.103115	e763ed0d-0e5a-4b8e-9514-6da3d9e47956	fb995261-472e-4ebc-99b0-d1136e1fad8a	Platelet sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets	e763ed0d-0e5a-4b8e-9514-6da3d9e47956.h5ad	7274
33	Publication: https://doi.org/10.1016/j.celrep.2019.12.082 Dataset Version: https://datasets.cellxgene.cziscience.com/a824b359-03f0-452a-9c6b-dfc88c1c4a63.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	939769a8-d8d2-4d01-abfc-55699893fd49	Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration	10.1016/j.celrep.2019.12.082	d95ab381-2b7c-4885-b168-0097ed4e397f	a824b359-03f0-452a-9c6b-dfc88c1c4a63	Cone cells of human eye	d95ab381-2b7c-4885-b168-0097ed4e397f.h5ad	1378
34	Publication: https://doi.org/10.1038/s41590-021-01059-0 Dataset Version: https://datasets.cellxgene.cziscience.com/756a4875-80a7-4e59-8e90-ddffb975c771.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/93eebe82-d8c3-41bc-a906-63b5b5f24a9d	93eebe82-d8c3-41bc-a906-63b5b5f24a9d	Single-cell proteo-genomic reference maps of the hematopoietic system enable the purification and massive profiling of precisely defined cell states	10.1038/s41590-021-01059-0	b3a5a10f-b1cb-4e8e-abce-bf345448625b	756a4875-80a7-4e59-8e90-ddffb975c771	15 leukemic bone marrow donors	b3a5a10f-b1cb-4e8e-abce-bf345448625b.h5ad	31586
35	Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/b102a9fb-8226-4c27-90e5-dd98201a82b2.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1	29f92179-ca10-4309-a32b-d383d80347c1	Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19	10.1016/j.immuni.2021.03.005	e5f5d954-cf0e-4bd8-9346-8d1ddf15a08b	b102a9fb-8226-4c27-90e5-dd98201a82b2	49 years old male - Airway Wash (3 days post-intubation)	e5f5d954-cf0e-4bd8-9346-8d1ddf15a08b.h5ad	2487
36	Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/bf29a137-bb72-4a5d-9ceb-bc200aace419.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1	29f92179-ca10-4309-a32b-d383d80347c1	Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19	10.1016/j.immuni.2021.03.005	62de80d7-e6c4-4ff0-ad4c-d3d36f57cb93	bf29a137-bb72-4a5d-9ceb-bc200aace419	66 years old female - Airway Wash (4 days post-intubation)	62de80d7-e6c4-4ff0-ad4c-d3d36f57cb93.h5ad	2598
37	Publication: https://doi.org/10.1016/j.celrep.2019.12.082 Dataset Version: https://datasets.cellxgene.cziscience.com/8f581cba-bc6c-4769-a0e2-1428575c8a51.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	939769a8-d8d2-4d01-abfc-55699893fd49	Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration	10.1016/j.celrep.2019.12.082	9cfee1e6-b24f-433d-a269-f01841655d6a	8f581cba-bc6c-4769-a0e2-1428575c8a51	Retinal pigment epithelial cells of human eye	9cfee1e6-b24f-433d-a269-f01841655d6a.h5ad	1635
38	Publication: https://doi.org/10.1016/j.cell.2020.12.016 Dataset Version: https://datasets.cellxgene.cziscience.com/c03f88c0-07bf-479c-94b0-771b013f07a5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e	60358420-6055-411d-ba4f-e8ac80682a2e	Spatiotemporal analysis of human intestinal development at single-cell resolution	10.1016/j.cell.2020.12.016	4269074c-f2c1-4d88-b2c3-0946f59d5449	c03f88c0-07bf-479c-94b0-771b013f07a5	Spatiotemporal analysis of human intestinal development at single-cell resolution: Immune	4269074c-f2c1-4d88-b2c3-0946f59d5449.h5ad	2199
