soma_joinid	citation	collection_id	collection_name	collection_doi	collection_doi_label	dataset_id	dataset_version_id	dataset_title	dataset_h5ad_path	dataset_total_cell_count
17	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/5acbe8e6-cc23-49a0-b74e-ac1d6921e295.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	b24705ee-87c0-45f2-adfb-2819fdc16225	5acbe8e6-cc23-49a0-b74e-ac1d6921e295	Spatial transcriptomics in mouse: Puck_200104_04	b24705ee-87c0-45f2-adfb-2819fdc16225.h5ad	25817
18	Publication: https://doi.org/10.1038/s41593-020-00764-7 Dataset Version: https://datasets.cellxgene.cziscience.com/017837df-b8be-4a4f-bc08-c5f14bd8815a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/180bff9c-c8a5-4539-b13b-ddbc00d643e6	180bff9c-c8a5-4539-b13b-ddbc00d643e6	Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease	10.1038/s41593-020-00764-7	Leng et al. (2021) Nat Neurosci	bdacc907-7c26-419f-8808-969eab3ca2e8	017837df-b8be-4a4f-bc08-c5f14bd8815a	Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: SFG microglia	bdacc907-7c26-419f-8808-969eab3ca2e8.h5ad	3799
19	Publication: https://doi.org/10.1038/s41588-023-01435-6 Dataset Version: https://datasets.cellxgene.cziscience.com/09224950-b662-4db3-88f1-17d1525bc2f6.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d74b6979-efba-47cd-990a-9d80ccf29055	d74b6979-efba-47cd-990a-9d80ccf29055	Spatial transcriptomic maps of whole mouse embryos reveal principles of neural tube patterning	10.1038/s41588-023-01435-6	Sampath Kumar et al. (2023) Nat Genet	6c0f2e18-3793-4d90-88b5-12d9d6f0f4e2	09224950-b662-4db3-88f1-17d1525bc2f6	E9.0: Puck_220718_02	6c0f2e18-3793-4d90-88b5-12d9d6f0f4e2.h5ad	703
20	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/0aeba889-34c7-427c-8c0b-5abf70fda5e8.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	90ef2377-e4d0-41c7-924f-6f9ee7a9237d	0aeba889-34c7-427c-8c0b-5abf70fda5e8	Spatial transcriptomics in the healthy human kidney: Puck_200113_07	90ef2377-e4d0-41c7-924f-6f9ee7a9237d.h5ad	11456
21	Publication: https://doi.org/10.1101/2024.09.10.612293 Dataset Version: https://datasets.cellxgene.cziscience.com/cb46feff-d5bd-41e6-91c5-ce4daddc066e.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8f17ac63-aaba-44b5-9b78-60f121da4c2f	8f17ac63-aaba-44b5-9b78-60f121da4c2f	A Coding and Non-Coding Atlas of the Human Arterial Cell	10.1101/2024.09.10.612293	Zhao et al. (2024) bioRxiv	b2005457-dede-4434-a9c3-dbe41fcd542e	cb46feff-d5bd-41e6-91c5-ce4daddc066e	slide-seqV2 analysis of aorta	b2005457-dede-4434-a9c3-dbe41fcd542e.h5ad	6142
22	Publication: https://doi.org/10.1038/s41467-022-29450-x Dataset Version: https://datasets.cellxgene.cziscience.com/f223d2b0-d878-443b-8bef-f182fe1f22d1.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/bf325905-5e8e-42e3-933d-9a9053e9af80	bf325905-5e8e-42e3-933d-9a9053e9af80	Single-cell Atlas of common variable immunodeficiency shows germinal center-associated epigenetic dysregulation in B-cell responses	10.1038/s41467-022-29450-x	Rodríguez-Ubreva et al. (2022) Nat Commun	a5d95a42-0137-496f-8a60-101e17f263c8	f223d2b0-d878-443b-8bef-f182fe1f22d1	Steady-state B cells - scRNA-seq	a5d95a42-0137-496f-8a60-101e17f263c8.h5ad	1324
23	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/0effbd1e-4397-407f-8ab7-7c087828e307.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	2fb24a91-55b9-4cc4-9a11-d46c373d53c1	0effbd1e-4397-407f-8ab7-7c087828e307	Spatial transcriptomics in mouse: Puck_191109_08	2fb24a91-55b9-4cc4-9a11-d46c373d53c1.h5ad	30182
24	Publication: https://doi.org/10.1038/s41590-021-01059-0 Dataset Version: https://datasets.cellxgene.cziscience.com/8b1e0d38-c48a-4e60-84c4-744a1d8ad2a1.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/93eebe82-d8c3-41bc-a906-63b5b5f24a9d	93eebe82-d8c3-41bc-a906-63b5b5f24a9d	Single-cell proteo-genomic reference maps of the hematopoietic system enable the purification and massive profiling of precisely defined cell states	10.1038/s41590-021-01059-0	Triana et al. (2021) Nat Immunol	d3566d6a-a455-4a15-980f-45eb29114cab	8b1e0d38-c48a-4e60-84c4-744a1d8ad2a1	blood and bone marrow from a healthy young donor	d3566d6a-a455-4a15-980f-45eb29114cab.h5ad	15502
25	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/24218d17-2680-4214-9c92-b9bb370dbbbd.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	5e73d977-8e54-4406-a5f0-711bf0d3c228	24218d17-2680-4214-9c92-b9bb370dbbbd	Spatial transcriptomics in mouse: Puck_191204_09	5e73d977-8e54-4406-a5f0-711bf0d3c228.h5ad	17138
26	Publication: https://doi.org/10.1016/j.immuni.2022.09.002 Dataset Version: https://datasets.cellxgene.cziscience.com/6a01686c-f4d6-4fa0-b255-da0dcfcd1804.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/02b01703-bf1b-48de-b99a-23bef8cccc81	02b01703-bf1b-48de-b99a-23bef8cccc81	Spatially mapping T cell receptors and transcriptomes	10.1016/j.immuni.2022.09.002	Liu et al. (2022) Immunity	c62ac8e5-72d1-48d1-8bb5-9e66fd2b1e19	6a01686c-f4d6-4fa0-b255-da0dcfcd1804	Normal Spleen OT1 Puck_200727_02	c62ac8e5-72d1-48d1-8bb5-9e66fd2b1e19.h5ad	11510
27	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/7a361462-363f-4dc9-8d84-1605fabc9691.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	10eed666-34e0-4b98-9384-179993873aa8	7a361462-363f-4dc9-8d84-1605fabc9691	Spatial transcriptomics in mouse: Puck_200104_03	10eed666-34e0-4b98-9384-179993873aa8.h5ad	16027
28	Publication: https://doi.org/10.1038/s41588-023-01435-6 Dataset Version: https://datasets.cellxgene.cziscience.com/28758f93-4149-48c8-a4ff-5d0ff28b9d16.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d74b6979-efba-47cd-990a-9d80ccf29055	d74b6979-efba-47cd-990a-9d80ccf29055	Spatial transcriptomic maps of whole mouse embryos reveal principles of neural tube patterning	10.1038/s41588-023-01435-6	Sampath Kumar et al. (2023) Nat Genet	e545cafe-80f4-494e-bbb1-e95c86955756	28758f93-4149-48c8-a4ff-5d0ff28b9d16	E9.0: Puck_220718_10	e545cafe-80f4-494e-bbb1-e95c86955756.h5ad	1336
29	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/67855e83-c9c1-4b9c-b6bb-d5cef75f212a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	9098fb44-ac81-4ac6-be8e-464f10ec7128	67855e83-c9c1-4b9c-b6bb-d5cef75f212a	Spatial transcriptomics in mouse: Puck_191223_10	9098fb44-ac81-4ac6-be8e-464f10ec7128.h5ad	14961
30	Publication: https://doi.org/10.1016/j.immuni.2022.09.002 Dataset Version: https://datasets.cellxgene.cziscience.com/23faf7da-1792-4069-b20c-a035fd301698.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/02b01703-bf1b-48de-b99a-23bef8cccc81	02b01703-bf1b-48de-b99a-23bef8cccc81	Spatially mapping T cell receptors and transcriptomes	10.1016/j.immuni.2022.09.002	Liu et al. (2022) Immunity	76bb43ff-e2f5-4513-a0f0-1059c860c3b7	23faf7da-1792-4069-b20c-a035fd301698	Cutaneous melanoma, lymph node metastasis Puck_220408_08	76bb43ff-e2f5-4513-a0f0-1059c860c3b7.h5ad	19034
31	Publication: https://doi.org/10.1016/j.celrep.2019.12.082 Dataset Version: https://datasets.cellxgene.cziscience.com/3e706d81-4387-4405-9401-795671be1d8f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	939769a8-d8d2-4d01-abfc-55699893fd49	Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration	10.1016/j.celrep.2019.12.082	Orozco et al. (2020) Cell Reports	de17ac25-550a-4018-be75-bbb485a0636e	3e706d81-4387-4405-9401-795671be1d8f	Myeloid cells of human eye	de17ac25-550a-4018-be75-bbb485a0636e.h5ad	395
32	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/6fc5cbd5-ad26-4518-a19f-843f37fcb893.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	707acde8-4e99-4e31-8da9-782ded87d136	6fc5cbd5-ad26-4518-a19f-843f37fcb893	Spatial transcriptomics in mouse: Puck_191204_24	707acde8-4e99-4e31-8da9-782ded87d136.h5ad	27220
33	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/bfa2695d-0d7f-43d5-8126-5f25415701d6.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	3679ae7d-d70e-4c09-a8bb-78b8ae1006ff	bfa2695d-0d7f-43d5-8126-5f25415701d6	Spatial transcriptomics in the healthy human kidney: Puck_200131_25	3679ae7d-d70e-4c09-a8bb-78b8ae1006ff.h5ad	10701
34	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/e0256600-a917-4ec7-abb9-34131f1e1e71.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	9246671b-f814-4252-8f1a-57f4f5e28f81	e0256600-a917-4ec7-abb9-34131f1e1e71	Spatial transcriptomics in mouse: Puck_200210_04	9246671b-f814-4252-8f1a-57f4f5e28f81.h5ad	20424
35	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/ca32f1db-a218-443f-b367-d5c0a39fbf09.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	f9f63905-34b2-4c61-b747-1df6c7a35a6a	ca32f1db-a218-443f-b367-d5c0a39fbf09	Spatial transcriptomics in mouse: Puck_200127_07	f9f63905-34b2-4c61-b747-1df6c7a35a6a.h5ad	17363
36	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/1b667779-e452-45f7-87a1-a8a5ad19bab2.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	34cd019c-c79d-4f4f-8f95-8934062dc132	1b667779-e452-45f7-87a1-a8a5ad19bab2	Spatial transcriptomics in mouse: Puck_191206_03	34cd019c-c79d-4f4f-8f95-8934062dc132.h5ad	18542
