author_cell_type	cell_type	dataset_title	collection_name	cell_type_ontology_term_id	count
L5/6 NP CTX	L5/6 near-projecting glutamatergic neuron of the primary motor cortex	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023043	2029
Sst Chodl	sst chodl GABAergic cortical interneuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023121	1961
NP SUB	L5/6 near-projecting glutamatergic neuron of the primary motor cortex	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023043	1870
L5 PT CTX	L5 extratelencephalic projecting glutamatergic cortical neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023041	1738
ExN-L5-3	neuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000540	1720
CA1-ProS	pyramidal neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000598	1704
L6b CTX	L6b glutamatergic cortical neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023038	1686
CA3	hippocampal neuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0002608	1675
ExN-L6-3	neuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000540	1662
L2/3 IT PPP	L2/3-6 intratelencephalic projecting glutamatergic neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023040	1497
Peri	pericyte	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000669	1450
Sncg	sncg GABAergic cortical interneuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023015	1419
Astro-2	astrocyte	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000127	1315
Micro-2	microglial cell	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000129	1278
L6 IT ENTl	L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023050	1211
Car3	corticothalamic-projecting glutamatergic cortical neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023013	1187
L5 PPP	L5 extratelencephalic projecting glutamatergic cortical neuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023041	1183
Micro-3	microglial cell	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000129	1110
MSN-D1-2	medium spiny neuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:1001474	1080
Astro	astrocyte	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000127	963
Endo	endothelial cell	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000115	960
Micro-PVM	central nervous system macrophage	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000878	955
Micro-1	microglial cell	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000129	953
InN-Pvalb-1	inhibitory interneuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000498	874
L6 IT Car3	glutamatergic neuron	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000679	720
InN-Sst-1	inhibitory interneuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000498	702
InN-Sst-2	inhibitory interneuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000498	690
L6b/CT ENT	L6b glutamatergic cortical neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023038	662
InN-Vip	inhibitory interneuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000498	622
L3 IT ENT	L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023047	593
astrocyte	astrocyte	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000127	592
InN-Olf-1	inhibitory interneuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000498	578
InN-Lamp5	inhibitory interneuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000498	542
InN-Pvalb-3	inhibitory interneuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000498	538
brain pericyte	brain pericyte	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:2000043	484
neuron	neuron	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000540	484
SUB-ProS	glutamatergic neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000679	471
InN-Calb2-1	inhibitory interneuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000498	406
InN-Pvalb-2	inhibitory interneuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000498	391
L5/6 IT TPE-ENT	L5 extratelencephalic projecting glutamatergic cortical neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023041	352
Vlmc	vascular leptomeningeal cell	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:4023051	350
L2/3 IT ENTl	L2/3-6 intratelencephalic projecting glutamatergic neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023040	344
Epen	cell	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000000	339
CA2-IG-FC	hippocampal neuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0002608	328
CA3	hippocampal neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0002608	322
oligodendrocyte precursor cell	oligodendrocyte precursor cell	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0002453	312
macrophage	macrophage	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000235	312
SMC-Peri	pericyte	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000669	288
L4	glutamatergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000679	285
CR	Cajal-Retzius cell	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000695	277
Pvalb	GABAergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000617	270
Sst Chodl	sst chodl GABAergic cortical interneuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023121	265
InN-Olf-2	inhibitory interneuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000498	260
L4 RSP-ACA	pyramidal neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000598	256
NP SUB	L5/6 near-projecting glutamatergic neuron of the primary motor cortex	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023043	253
interneuron	interneuron	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000099	240
Oligo	oligodendrocyte	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000128	229
InN-Lhx6	inhibitory interneuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000498	223
Vip	GABAergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000617	195
Endo-1	endothelial cell	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000115	193
Endo	endothelial cell	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000115	193
L2 IT ENTl	L2/3-6 intratelencephalic projecting glutamatergic neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023040	191
Micro-PVM	central nervous system macrophage	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000878	177
Peri-1	pericyte	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000669	172
Endo-3	endothelial cell	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000115	169
Macro	macrophage	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000235	169
CT SUB	cortical interneuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0008031	158
VLMC	vascular leptomeningeal cell (Mmus)	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023056	152
neuroepithelial stem cell	neuroepithelial stem cell	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0002259	151
NP PPP	L5/6 near-projecting glutamatergic neuron of the primary motor cortex	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023043	142
L2/3 IT RHP	L2/3-6 intratelencephalic projecting glutamatergic neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023040	134
Prog/IP	GABAergic neuron	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000617	132
Meis2	meis2 expressing cortical GABAergic cell	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023065	130
SMC-Peri	pericyte	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000669	121
VLMC	vascular leptomeningeal cell (Mmus)	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023056	116
Prog/IP	unknown	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	unknown	114
Peri-2	pericyte	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000669	109
InN-Calb2-2	inhibitory interneuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000498	108
T cell	T cell	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000084	107
